study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5348	SAMEA2401371	ERX425509	ERR459162	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459162/ERR459162.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459162/120903_0219_D0PT7ACXX_5_SA-PE-010.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459162
PRJEB5348	SAMEA2401372	ERX425510	ERR459163	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459163/ERR459163.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459163/120903_0219_D0PT7ACXX_6_SA-PE-010.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459163
PRJEB5348	SAMEA2401373	ERX425511	ERR459164	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459164/ERR459164.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459164/120903_0219_D0PT7ACXX_7_SA-PE-010.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459164
PRJEB5348	SAMEA2401374	ERX425512	ERR459165	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459165/ERR459165.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459165/120903_0219_D0PT7ACXX_1_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459165
PRJEB5348	SAMEA2401375	ERX425513	ERR459166	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459166/ERR459166.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459166/120903_0219_D0PT7ACXX_2_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459166
PRJEB5348	SAMEA2401376	ERX425514	ERR459167	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459167/ERR459167.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459167/120903_0219_D0PT7ACXX_3_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459167
PRJEB5348	SAMEA2401377	ERX425515	ERR459168	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459168/ERR459168.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459168/120903_0219_D0PT7ACXX_4_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459168
PRJEB5348	SAMEA2401378	ERX425516	ERR459169	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459169/ERR459169.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459169/120903_0219_D0PT7ACXX_5_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459169
PRJEB5348	SAMEA2401379	ERX425517	ERR459170	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459170/ERR459170.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459170/120903_0219_D0PT7ACXX_6_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459170
PRJEB5348	SAMEA2401380	ERX425518	ERR459171	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459171/ERR459171.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459171/120903_0219_D0PT7ACXX_7_SA-PE-049.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459171
PRJEB5348	SAMEA2401381	ERX425519	ERR459172	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459172/ERR459172.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459172/120903_0219_D0PT7ACXX_1_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459172
PRJEB5348	SAMEA2401382	ERX425520	ERR459173	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459173/ERR459173.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459173/120903_0219_D0PT7ACXX_2_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459173
PRJEB5348	SAMEA2401383	ERX425521	ERR459174	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459174/ERR459174.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459174/120903_0219_D0PT7ACXX_3_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459174
PRJEB5348	SAMEA2401384	ERX425522	ERR459175	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459175/ERR459175.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459175/120903_0219_D0PT7ACXX_4_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459175
PRJEB5348	SAMEA2401385	ERX425523	ERR459176	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459176/ERR459176.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459176/120903_0219_D0PT7ACXX_5_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459176
